,createdAt,amount,shoeSize
0,2018-01-20 22:46:32,1200,M
1,2018-01-19 23:32:42,1275,L
2,2018-01-18 20:31:11,1200,L
3,2018-01-17 21:30:39,1280,L
4,2018-01-17 16:07:59,1285,XL
5,2018-01-15 22:35:13,1349,M
6,2018-01-08 22:06:53,1000,M
7,2017-12-29 22:17:04,1395,XL
8,2017-12-29 13:08:57,1450,XL
9,2017-12-27 21:25:58,1200,XL
10,2017-12-18 22:50:53,1175,M
11,2017-12-14 15:27:20,1300,M
12,2017-12-08 21:26:52,1250,L
13,2017-12-07 22:54:31,1250,M
14,2017-11-25 18:13:15,1250,M
15,2017-11-13 19:52:45,1500,XL
16,2017-11-09 18:49:11,1200,M
17,2017-11-06 19:31:07,900,L
18,2017-11-06 16:14:48,1300,M
19,2017-11-06 03:41:19,1200,XL
20,2017-11-02 18:06:47,1340,XL
21,2017-11-02 13:37:08,1400,M
22,2017-10-30 21:55:24,1050,M
23,2017-10-21 20:13:18,1500,XL
24,2018-01-19 23:32:42,1275,L
25,2018-01-18 20:31:11,1200,L
26,2018-01-17 21:30:39,1280,L
27,2018-01-17 16:07:59,1285,XL
28,2018-01-15 22:35:13,1349,M
29,2018-01-08 22:06:53,1000,M
30,2017-12-29 22:17:04,1395,XL
31,2017-12-29 13:08:57,1450,XL
32,2017-12-27 21:25:58,1200,XL
33,2017-12-18 22:50:53,1175,M
34,2017-12-14 15:27:20,1300,M
35,2017-12-08 21:26:52,1250,L
36,2017-12-07 22:54:31,1250,M
37,2017-11-25 18:13:15,1250,M
38,2017-11-13 19:52:45,1500,XL
39,2017-11-09 18:49:11,1200,M
40,2017-11-06 19:31:07,900,L
41,2017-11-06 16:14:48,1300,M
42,2017-11-06 03:41:19,1200,XL
43,2017-11-02 18:06:47,1340,XL
44,2017-11-02 13:37:08,1400,M
45,2017-10-30 21:55:24,1050,M
46,2017-10-21 20:13:18,1500,XL
47,2018-01-15 01:30:24,1275,L
48,2018-01-13 19:13:38,1280,L
49,2018-01-12 19:09:19,1285,XL
50,2018-01-11 21:15:49,1349,M
51,2018-01-10 23:03:03,1280,L
52,2018-01-04 19:03:45,1350,XL
53,2018-01-04 01:01:28,1000,M
54,2017-12-28 01:06:14,1250,L
55,2017-12-27 23:11:17,1395,XL
56,2017-12-25 17:28:48,1450,XL
57,2017-12-25 15:40:49,1395,XL
58,2017-12-22 19:08:32,1200,XL
59,2017-12-18 23:19:37,1300,XL
60,2017-12-15 19:31:52,1175,M
61,2017-12-15 01:23:12,1250,M
62,2017-12-12 19:04:07,1250,M
63,2017-12-11 21:42:26,1175,M
64,2017-12-07 23:47:09,750,XL
65,2017-12-06 11:08:38,1300,M
66,2017-12-11 21:32:21,1250,M
67,2017-12-08 19:15:51,975,L
68,2017-12-06 19:20:44,1250,L
69,2017-11-29 19:03:34,975,L
70,2017-12-04 21:04:46,1250,M
71,2017-12-04 17:01:59,1250,L
72,2017-12-04 07:47:25,1300,M
73,2017-12-04 05:47:59,1250,L
74,2017-12-04 01:41:17,1250,M
75,2017-11-29 02:24:02,975,L
76,2017-11-28 03:43:18,1295,M
77,2017-11-26 06:45:19,1295,M
78,2017-11-22 21:49:54,1250,M
79,2017-11-10 23:12:53,1250,M
80,2017-11-17 17:16:08,1200,M
81,2017-11-15 19:22:44,1200,M
82,2017-11-08 12:05:09,1500,XL
83,2017-11-06 23:07:40,1200,M
84,2017-11-06 03:40:56,1500,XL
85,2017-11-04 12:07:15,1200,M
86,2017-11-02 21:10:26,1300,M
87,2017-10-31 19:16:47,900,L
88,2017-11-02 11:29:40,1340,XL
89,2017-11-01 22:38:29,1300,M
90,2017-10-30 21:12:23,1400,M
91,2017-10-30 19:49:42,1340,XL
92,2017-10-29 20:43:08,1400,M
93,2017-10-27 17:01:34,1050,M
94,2017-10-26 17:08:15,1125,M
95,2017-10-26 01:02:32,1050,M
96,2017-10-18 01:14:47,705,XL
97,2017-10-23 21:15:15,1125,M
98,2017-10-20 19:50:20,1050,M
99,2017-10-20 17:05:31,1500,XL
100,2017-10-18 17:14:32,1500,XL
