,createdAt,amount,shoeSize
0,2017-06-14 18:02:10,71,12.0
1,2017-06-14 14:09:10,90,8.5
2,2017-06-09 14:54:06,105,11.0
3,2017-06-08 14:20:25,105,10.5
4,2017-05-25 18:17:48,125,11.0
5,2017-05-23 21:51:58,120,11.5
6,2017-05-10 19:35:09,130,13.0
7,2017-05-01 18:31:30,125,10.5
8,2017-04-10 19:18:47,105,11.0
9,2017-04-07 14:03:08,175,11.0
10,2017-04-05 17:50:07,175,12.0
11,2017-04-04 20:35:30,150,12.0
12,2017-04-02 12:19:02,175,9.0
13,2017-04-01 17:27:19,175,11.0
14,2017-04-01 03:12:29,175,9.5
15,2017-03-30 17:48:35,150,8.0
16,2017-03-29 23:28:44,115,10.0
17,2017-03-29 18:27:56,145,13.0
18,2017-03-28 20:40:05,175,10.0
19,2017-03-27 19:29:04,150,8.0
20,2017-03-27 02:01:23,175,8.5
21,2017-03-26 10:06:28,191,8.5
22,2017-03-23 12:18:29,175,8.5
23,2017-03-23 10:08:33,150,9.5
24,2017-03-21 18:10:44,175,9.5
25,2017-03-20 18:12:57,150,8.0
26,2017-03-20 14:56:59,90,11.0
27,2017-03-20 09:25:34,164,12.0
28,2017-03-20 08:25:44,175,11.0
29,2017-03-19 01:11:04,191,10.0
30,2017-03-18 19:30:25,175,13.0
31,2017-03-18 19:05:43,175,11.0
32,2017-03-18 18:23:21,150,12.0
33,2017-03-17 17:43:31,124,10.5
34,2017-03-16 19:59:44,175,10.0
35,2017-03-13 16:29:23,120,10.0
36,2017-03-13 15:57:00,129,11.5
37,2017-03-11 11:46:04,200,10.0
38,2017-03-11 11:03:40,200,11.5
39,2017-03-10 19:56:08,125,11.5
40,2017-03-10 09:04:23,200,11.0
41,2017-03-09 18:39:27,157,13.0
42,2017-03-09 16:32:38,115,11.0
43,2017-03-09 05:23:48,216,8.5
44,2017-03-08 15:20:39,216,9.0
45,2017-03-07 16:17:57,150,12.0
46,2017-03-07 14:29:05,130,10.5
47,2017-03-07 13:02:26,150,8.0
48,2017-03-06 23:38:15,150,9.0
49,2017-03-06 13:41:06,175,8.5
50,2017-03-05 22:30:51,150,8.0
51,2017-03-05 22:05:14,150,10.0
52,2017-03-05 15:23:39,175,9.5
53,2017-03-05 14:48:32,150,9.0
54,2017-03-05 14:20:16,150,8.0
55,2017-03-05 13:26:58,200,11.0
56,2017-03-04 23:39:44,175,11.0
57,2017-03-04 23:17:56,175,11.0
58,2017-03-04 22:48:25,150,8.5
59,2017-03-04 22:25:45,175,12.0
60,2017-03-04 21:37:29,175,9.5
61,2017-03-04 05:20:11,150,12.0
62,2017-03-03 22:52:03,175,11.5
63,2017-03-03 20:27:10,130,10.0
64,2017-03-03 19:05:12,120,11.0
65,2017-03-03 18:33:12,125,9.0
66,2017-03-03 18:29:55,118,11.0
67,2017-03-03 14:47:02,200,10.5
68,2017-03-03 14:28:47,175,11.0
69,2017-03-03 05:40:37,150,9.5
70,2017-03-02 23:28:46,150,8.0
71,2017-03-02 23:27:33,160,10.5
72,2017-03-02 23:04:53,152,12.0
73,2017-03-02 19:44:12,175,9.5
74,2017-03-02 19:31:08,125,11.0
75,2017-03-02 16:14:14,135,11.5
76,2017-03-02 14:20:55,175,9.5
77,2017-03-02 14:18:30,135,10.0
78,2017-03-02 08:48:57,150,11.0
79,2017-03-02 06:46:16,150,9.0
80,2017-03-01 23:43:05,175,10.0
81,2017-03-01 23:04:22,100,11.0
82,2017-03-01 22:57:23,175,10.5
83,2017-03-01 22:55:57,150,12.0
84,2017-03-01 22:46:20,175,11.5
85,2017-03-01 19:54:06,145,11.5
86,2017-03-01 17:30:31,145,11.0
87,2017-03-01 17:22:23,180,12.0
88,2017-03-01 16:35:08,170,10.0
89,2017-03-01 16:03:46,175,13.0
90,2017-03-01 15:22:18,175,10.0
91,2017-03-01 14:52:14,175,10.5
92,2017-02-28 22:26:09,150,10.0
93,2017-02-28 21:20:08,175,12.0
94,2017-02-27 16:31:34,102,9.5
