,createdAt,amount,shoeSize
0,2017-05-25 18:17:48,125,11.0
1,2017-05-23 21:51:58,120,11.5
2,2017-05-10 19:35:09,130,13.0
3,2017-05-01 18:31:30,125,10.5
4,2017-04-10 19:18:47,105,11.0
5,2017-04-07 14:03:08,175,11.0
6,2017-04-05 17:50:07,175,12.0
7,2017-04-04 20:35:30,150,12.0
8,2017-04-02 12:19:02,175,9.0
9,2017-04-01 17:27:19,175,11.0
10,2017-04-01 03:12:29,175,9.5
11,2017-03-30 17:48:35,150,8.0
12,2017-03-29 23:28:44,115,10.0
13,2017-03-29 18:27:56,145,13.0
14,2017-03-28 20:40:05,175,10.0
15,2017-03-27 19:29:04,150,8.0
16,2017-03-27 02:01:23,175,8.5
17,2017-03-26 10:06:28,191,8.5
18,2017-03-23 12:18:29,175,8.5
19,2017-03-23 10:08:33,150,9.5
20,2017-03-21 18:10:44,175,9.5
21,2017-03-20 18:12:57,150,8.0
22,2017-03-20 14:56:59,90,11.0
23,2017-03-20 09:25:34,164,12.0
24,2017-03-20 08:25:44,175,11.0
25,2017-03-19 01:11:04,191,10.0
26,2017-03-18 19:30:25,175,13.0
27,2017-03-18 19:05:43,175,11.0
28,2017-03-18 18:23:21,150,12.0
29,2017-03-17 17:43:31,124,10.5
30,2017-03-16 19:59:44,175,10.0
31,2017-03-13 16:29:23,120,10.0
32,2017-03-13 15:57:00,129,11.5
33,2017-03-11 11:46:04,200,10.0
34,2017-03-11 11:03:40,200,11.5
35,2017-03-10 19:56:08,125,11.5
36,2017-03-10 09:04:23,200,11.0
37,2017-03-09 18:39:27,157,13.0
38,2017-03-09 16:32:38,115,11.0
39,2017-03-09 05:23:48,216,8.5
40,2017-03-08 15:20:39,216,9.0
41,2017-03-07 16:17:57,150,12.0
42,2017-03-07 14:29:05,130,10.5
43,2017-03-07 13:02:26,150,8.0
44,2017-03-06 23:38:15,150,9.0
45,2017-03-06 13:41:06,175,8.5
46,2017-03-05 22:30:51,150,8.0
47,2017-03-05 22:05:14,150,10.0
48,2017-03-05 15:23:39,175,9.5
49,2017-03-05 14:48:32,150,9.0
50,2017-03-05 14:20:16,150,8.0
51,2017-03-05 13:26:58,200,11.0
52,2017-03-04 23:39:44,175,11.0
53,2017-03-04 23:17:56,175,11.0
54,2017-03-04 22:48:25,150,8.5
55,2017-03-04 22:25:45,175,12.0
56,2017-03-04 21:37:29,175,9.5
57,2017-03-04 05:20:11,150,12.0
58,2017-03-03 22:52:03,175,11.5
59,2017-03-03 20:27:10,130,10.0
60,2017-03-03 19:05:12,120,11.0
61,2017-03-03 18:33:12,125,9.0
62,2017-03-03 18:29:55,118,11.0
63,2017-03-03 14:47:02,200,10.5
64,2017-03-03 14:28:47,175,11.0
65,2017-03-03 05:40:37,150,9.5
66,2017-03-02 23:28:46,150,8.0
67,2017-03-02 23:27:33,160,10.5
68,2017-03-02 23:04:53,152,12.0
69,2017-03-02 19:44:12,175,9.5
70,2017-03-02 19:31:08,125,11.0
71,2017-03-02 16:14:14,135,11.5
72,2017-03-02 14:20:55,175,9.5
73,2017-03-02 14:18:30,135,10.0
74,2017-03-02 08:48:57,150,11.0
75,2017-03-02 06:46:16,150,9.0
76,2017-03-01 23:43:05,175,10.0
77,2017-03-01 23:04:22,100,11.0
78,2017-03-01 22:57:23,175,10.5
79,2017-03-01 22:55:57,150,12.0
80,2017-03-01 22:46:20,175,11.5
81,2017-03-01 19:54:06,145,11.5
82,2017-03-01 17:30:31,145,11.0
83,2017-03-01 17:22:23,180,12.0
84,2017-03-01 16:35:08,170,10.0
85,2017-03-01 16:03:46,175,13.0
86,2017-03-01 15:22:18,175,10.0
87,2017-03-01 14:52:14,175,10.5
88,2017-02-28 22:26:09,150,10.0
89,2017-02-28 21:20:08,175,12.0
90,2017-02-27 16:31:34,102,9.5
91,2017-02-25 13:33:25,200,10.5
92,2017-02-24 20:23:35,150,12.0
93,2017-02-24 18:17:33,175,10.0
94,2017-02-24 16:52:30,175,8.5
95,2017-02-24 14:49:52,175,10.5
96,2017-02-24 10:45:29,175,10.5
97,2017-02-24 06:49:10,200,11.0
98,2017-02-23 23:40:07,175,11.0
99,2017-02-23 23:07:24,175,9.0
100,2017-02-23 22:29:03,175,9.5
101,2017-02-23 22:06:40,200,12.0
102,2017-02-22 14:38:16,200,9.5
103,2017-02-19 05:23:14,200,9.0
104,2017-05-25 18:17:48,125,11.0
105,2017-05-23 21:51:58,120,11.5
106,2017-05-10 19:35:09,130,13.0
107,2017-05-01 18:31:30,125,10.5
108,2017-04-10 19:18:47,105,11.0
109,2017-04-07 14:03:08,175,11.0
110,2017-04-05 17:50:07,175,12.0
111,2017-04-04 20:35:30,150,12.0
112,2017-04-02 12:19:02,175,9.0
113,2017-04-01 17:27:19,175,11.0
114,2017-04-01 03:12:29,175,9.5
115,2017-03-30 17:48:35,150,8.0
116,2017-03-29 23:28:44,115,10.0
117,2017-03-29 18:27:56,145,13.0
118,2017-03-28 20:40:05,175,10.0
119,2017-03-27 19:29:04,150,8.0
120,2017-03-27 02:01:23,175,8.5
121,2017-03-26 10:06:28,191,8.5
122,2017-03-23 12:18:29,175,8.5
123,2017-03-23 10:08:33,150,9.5
124,2017-03-21 18:10:44,175,9.5
125,2017-03-20 18:12:57,150,8.0
126,2017-03-20 14:56:59,90,11.0
127,2017-03-20 09:25:34,164,12.0
128,2017-03-20 08:25:44,175,11.0
129,2017-03-19 01:11:04,191,10.0
130,2017-03-18 19:30:25,175,13.0
131,2017-03-18 19:05:43,175,11.0
132,2017-03-18 18:23:21,150,12.0
133,2017-03-17 17:43:31,124,10.5
134,2017-03-16 19:59:44,175,10.0
135,2017-03-13 16:29:23,120,10.0
136,2017-03-13 15:57:00,129,11.5
137,2017-03-11 11:46:04,200,10.0
138,2017-03-11 11:03:40,200,11.5
139,2017-03-10 19:56:08,125,11.5
140,2017-03-10 09:04:23,200,11.0
141,2017-03-09 18:39:27,157,13.0
142,2017-03-09 16:32:38,115,11.0
143,2017-03-09 05:23:48,216,8.5
144,2017-03-08 15:20:39,216,9.0
145,2017-03-07 16:17:57,150,12.0
146,2017-03-07 14:29:05,130,10.5
147,2017-03-07 13:02:26,150,8.0
148,2017-03-06 23:38:15,150,9.0
149,2017-03-06 13:41:06,175,8.5
150,2017-03-05 22:30:51,150,8.0
151,2017-03-05 22:05:14,150,10.0
152,2017-03-05 15:23:39,175,9.5
153,2017-03-05 14:48:32,150,9.0
154,2017-03-05 14:20:16,150,8.0
155,2017-03-05 13:26:58,200,11.0
156,2017-03-04 23:39:44,175,11.0
157,2017-03-04 23:17:56,175,11.0
158,2017-03-04 22:48:25,150,8.5
159,2017-03-04 22:25:45,175,12.0
160,2017-03-04 21:37:29,175,9.5
161,2017-03-04 05:20:11,150,12.0
162,2017-03-03 22:52:03,175,11.5
163,2017-03-03 20:27:10,130,10.0
